SL.NO,All India Rank,Course Code,Name of the College Allotted.,Course Name,Allotted Category,Course_fees,Status,Exam year,Counselling Type,State,Round,District
1,59,M48PC4,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.D. General Medicine,OPN,1240775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
2,84,M01GC5,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Radio Diagnosis,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
3,88,M01GC4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
4,95,M01GD6,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
5,107,M01GC5,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Radio Diagnosis,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
6,134,M02GC5,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. Radio Diagnosis,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
7,151,M01GC1,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Dermatology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
8,192,M16GC4,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
9,204,M48PC1,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.D. Dermatology,OPN,1280775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
10,223,M01GD6,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
11,230,M02GC5,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. Radio Diagnosis,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
12,279,M03GC5,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. Radio Diagnosis,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
13,282,M48PC5,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.D. Radio Diagnosis,OPN,1280775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
14,296,M12GC3,"Indira Gandhi Institute of Child Health ,Bangalore",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
15,306,M01GC4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
16,335,M01GC4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
17,336,M02GC5,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. Radio Diagnosis,GMH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
18,358,M01GC4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
19,363,M05GC5,"Mandya Institute of Medical Sciences ,District Hospital,Mandya",M.D. Radio Diagnosis,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
20,381,M48PC4,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.D. General Medicine,GMP,1240775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
21,386,M01GC4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. General Medicine,3BG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
22,398,M01GD6,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
23,402,M02GC4,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
24,409,M02GC4,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
25,423,M02GC4,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
26,429,M01GC4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. General Medicine,GMH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
27,437,M01GC4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. General Medicine,3AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
28,443,M15GC5,"M.S.Ramaiah Medical College ,MSR Nagar, MSRIT Post,Mathikere,Bangalore",M.D. Radio Diagnosis,GM,808858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
29,453,M02GC4,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
30,470,M03GC4,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
31,477,M01GD5,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.S. General Surgery,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
32,492,M07GC5,"Hassan Institute of Medical Sciences ,Hassan",M.D. Radio Diagnosis,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Hassan
33,519,M38GC4,"ESI Medical College ,Bangalore",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
34,521,M48PC5,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.D. Radio Diagnosis,GMP,1280775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
35,551,M01GC5,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Radio Diagnosis,SCG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
36,584,M01GC4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. General Medicine,2AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
37,593,M06GC5,"Belgaum Institute of Medical Sciences ,Dr B R Ambedkar Road,Belgaum",M.D. Radio Diagnosis,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Belgaum
